depths,MUTE,MUTE_lower,MUTE_upper
0.0,0.014149627279387282,0.010123651311888252,0.014939784755050277
10.0,0.00021780342564202144,0.0002168658012132933,0.00025162439052318274
110.0,5.8715631267790885e-05,5.82023169165685e-05,6.844114435948856e-05
210.00000000000003,3.081002892633807e-05,3.041079189462221e-05,3.6076399243331515e-05
310.00000000000006,2.1032391099609222e-05,2.0674178865942943e-05,2.4651998536649574e-05
410.00000000000006,1.9617874759791863e-05,1.921644066924399e-05,2.301158741675632e-05
510.0,1.0615515921492664e-05,1.0380642814899443e-05,1.237023453011875e-05
610.0000000000001,6.9377307631794935e-06,6.769327682973029e-06,8.04415946468413e-06
710.0000000000001,4.610736595929016e-06,4.488884875306843e-06,5.318525110710267e-06
810.0,3.1260308860888176e-06,3.036483322746034e-06,3.5899032684860187e-06
910.0,2.1777564932748836e-06,2.1100477492518445e-06,2.5043356815149326e-06
1010.0,1.5751953239542415e-06,1.5222407787995287e-06,1.8130809561037795e-06
1110.0,1.1821672634237734e-06,1.139462167026818e-06,1.3617868903844745e-06
1210.0000000000002,8.93289758163295e-07,8.587604226352839e-07,1.02993564563326e-06
1310.0,6.801196546596883e-07,6.521123169537148e-07,7.849341444951738e-07
1410.0000000000002,5.224683707356902e-07,4.996425803166238e-07,6.035321968846924e-07
