lower,upper
-0.2845287644688663,0.05584298865695719
-0.0043049113023098,0.1552820612507213
-0.0087423798422818,0.1656375462837392
-0.0129580219697414,0.1709303918404137
-0.017031455528274998,0.172096811051959
-0.0204626696552593,0.17299084118531
-0.0221254537537536,0.1652975344395087
-0.024273510453912,0.15947991342886458
-0.026427820823631598,0.15350877241744498
-0.028645770501270602,0.14839021087778909
-0.0310910536747934,0.1499612969808865
-0.0336177643174943,0.15101976785480128
-0.036124411255708,0.1519409583720748
-0.0386541267404737,0.1529692758942231
-0.0411800151842216,0.1541118376999877
-0.0436883679425899,0.1551554710093854
